START2_OP020_V_1angle,START2_OP020_V_1torque,START2_OP020_V_2angle,START2_OP020_V_2torque,START2_OP040_Vision_cosseprog,START2_OP050_Vision_paliermodel,START2_OP050_Vision_palierpresencedouille,START2_OP060_Vision_tirantcouleur,START2_OP070_V_1angle,START2_OP070_V_1prog,START2_OP070_V_1torque,START2_OP070_V_2angle,START2_OP070_V_2prog,START2_OP070_V_2torque,START2_OP080_Vision_rondelleprog,START2_OP090_MaxMidForceLimit,START2_OP090_MinMidForceLimit,START2_OP090_SnapRingFinalStroke,START2_OP090_SnapRingMidPointForce,START2_OP090_SnapRingPeakForce,START2_OP090_StartLinePeakForce,START2_OP100_Capuchon_insertionmesure,START2_OP110_Vissage_M8angle,START2_OP110_Vissage_M8prog,START2_OP110_Vissage_M8torque,START2_OP120_RodageI_mesure,START2_OP120_RodageU_mesure
57.6,3.79,52.5,3.77,300.0,1.0,1.0,2.0,94.8,8.0,6.62,92.6,8.0,6.6,3.0,140.0,50.0,11.47,83.91,187.16,20.67,0.55,31.7,2.0,9.58,142.04,11.97
49.2,3.79,49.6,3.77,400.0,1.0,1.0,2.0,122.9,8.0,6.62,129.4,8.0,6.61,4.0,150.0,50.0,11.78,109.82,181.64,35.24,0.4,58.9,1.0,12.1,133.05,11.97
32.1,3.8,45.4,3.77,400.0,1.0,1.0,2.0,104.4,8.0,6.62,107.1,8.0,6.6,4.0,140.0,50.0,11.81,90.88,203.12,32.99,0.42,73.9,1.0,12.05,187.46,11.73
46.7,3.78,50.2,3.76,400.0,1.0,1.0,2.0,93.4,8.0,6.61,107.7,8.0,6.62,4.0,140.0,50.0,12.08,88.92,198.21,22.47,0.42,57.2,1.0,12.06,142.42,11.97
44.8,3.76,31.9,3.79,1000.0,2.0,1.0,1.0,127.7,7.0,6.42,135.6,7.0,6.42,10.0,140.0,50.0,11.78,108.96,188.94,41.28,0.58,15.0,1.0,12.16,121.66,11.97
43.2,3.76,37.7,3.77,1100.0,2.0,1.0,1.0,151.5,7.0,6.4,140.9,7.0,6.42,11.0,140.0,50.0,11.91,75.61,159.96,25.23,0.12,18.9,1.0,12.1,126.04,11.97
44.6,3.79,50.8,3.77,300.0,1.0,1.0,2.0,95.5,8.0,6.6,104.1,8.0,6.61,3.0,140.0,50.0,11.73,112.01,181.55,41.26,0.54,34.8,2.0,9.63,125.14,11.97
36.1,3.76,39.0,3.77,1100.0,2.0,1.0,1.0,136.8,7.0,6.42,117.6,7.0,6.42,11.0,140.0,50.0,11.86,74.41,159.27,23.46,0.13,18.2,1.0,12.22,123.07,11.97
45.9,3.76,47.5,3.79,40.0,1.0,1.0,2.0,111.5,8.0,6.63,110.7,8.0,6.61,4.0,140.0,50.0,11.88,70.66,125.07,14.09,0.42,52.5,1.0,12.06,131.51,11.97
31.4,3.8,40.1,3.77,1300.0,2.0,1.0,1.0,139.5,7.0,6.42,156.7,7.0,6.41,13.0,140.0,50.0,11.9,91.73,224.19,25.35,0.23,17.8,1.0,12.25,118.61,11.97
39.1,3.78,33.8,3.75,700.0,2.0,1.0,1.0,164.6,7.0,6.42,156.2,7.0,6.41,7.0,140.0,50.0,11.52,88.82,126.69,30.38,0.41,24.5,1.0,12.26,119.61,11.97
34.5,3.77,39.4,3.79,30.0,1.0,1.0,2.0,94.3,8.0,6.62,113.5,8.0,6.61,3.0,140.0,50.0,11.43,89.52,190.58,23.56,0.55,37.8,2.0,9.6,134.61,11.97
42.7,3.79,42.9,3.77,1300.0,2.0,1.0,1.0,148.4,7.0,6.41,164.0,7.0,6.41,13.0,140.0,50.0,12.12,67.08,159.68,16.93,0.23,10.6,1.0,12.14,118.56,11.97
31.4,3.8,30.8,3.8,1300.0,2.0,1.0,1.0,141.7,7.0,6.4,170.6,7.0,6.43,13.0,140.0,50.0,11.74,100.43,203.35,28.58,0.23,14.5,1.0,12.23,131.5,11.97
34.4,3.78,39.9,3.77,1000.0,2.0,1.0,1.0,150.2,7.0,6.44,145.7,7.0,6.42,10.0,140.0,50.0,11.56,91.49,183.72,47.84,0.6,17.9,1.0,12.13,111.29,11.97
49.2,3.76,35.5,3.8,300.0,1.0,1.0,2.0,112.3,8.0,6.6,120.3,8.0,6.62,3.0,140.0,50.0,11.8,106.04,196.35,43.85,0.54,34.5,2.0,9.65,134.76,11.97
28.5,3.76,31.4,3.77,700.0,2.0,1.0,1.0,162.6,7.0,6.43,149.7,7.0,6.43,7.0,140.0,50.0,11.59,73.49,128.5,23.82,0.41,12.4,1.0,12.2,112.95,11.97
39.5,3.79,44.1,3.76,1300.0,2.0,1.0,1.0,167.1,7.0,6.4,154.0,7.0,6.42,13.0,140.0,50.0,11.74,84.66,191.06,26.78,0.22,22.0,1.0,12.21,115.97,11.97
46.9,3.75,49.1,3.8,300.0,1.0,1.0,2.0,111.0,8.0,6.63,115.9,8.0,6.6,3.0,140.0,50.0,11.75,92.61,186.83,38.86,0.55,34.7,2.0,9.58,141.56,11.97
30.2,3.79,32.1,3.76,1300.0,2.0,1.0,1.0,158.6,7.0,6.41,153.3,7.0,6.42,13.0,140.0,50.0,11.91,68.67,131.35,13.25,0.23,17.8,1.0,12.23,132.08,11.97
37.9,3.81,39.1,3.77,1300.0,2.0,1.0,1.0,164.2,7.0,6.4,147.4,7.0,6.4,13.0,140.0,50.0,11.86,91.75,201.04,27.37,0.23,13.8,1.0,12.15,123.44,11.97
50.9,3.78,38.0,3.76,30.0,1.0,1.0,2.0,118.4,8.0,6.63,112.6,8.0,6.63,3.0,140.0,50.0,11.5,87.53,172.29,20.84,0.55,34.2,2.0,9.56,130.65,11.97
34.1,3.78,41.0,3.79,1000.0,2.0,1.0,1.0,126.3,7.0,6.42,144.3,7.0,6.42,10.0,140.0,50.0,11.33,85.25,180.86,47.71,0.6,19.7,1.0,12.18,124.89,11.97
29.3,3.78,32.6,3.8,1000.0,2.0,1.0,1.0,134.9,7.0,6.42,170.9,7.0,6.42,10.0,140.0,50.0,11.77,102.34,176.28,58.28,0.58,9.1,1.0,12.35,115.28,11.97
47.7,3.78,49.7,3.76,300.0,1.0,1.0,2.0,104.8,8.0,6.62,112.6,8.0,6.6,3.0,140.0,50.0,11.47,84.67,188.57,22.07,0.55,31.4,2.0,9.69,135.24,11.97
66.4,3.78,34.9,3.79,300.0,1.0,1.0,2.0,104.9,8.0,6.64,128.1,8.0,6.6,3.0,140.0,50.0,11.72,73.49,147.96,23.14,0.54,33.1,2.0,9.58,134.12,11.97
35.7,3.8,35.2,3.77,1000.0,2.0,1.0,1.0,145.3,7.0,6.4,149.7,7.0,6.42,10.0,140.0,50.0,11.79,110.14,170.14,41.04,0.58,13.5,1.0,12.21,121.73,11.97
41.0,3.76,33.7,3.78,1300.0,2.0,1.0,1.0,144.1,7.0,6.43,143.3,7.0,6.41,13.0,140.0,50.0,11.74,89.16,187.47,25.06,0.23,16.5,1.0,12.26,118.13,11.97
30.8,3.77,40.8,3.77,700.0,2.0,1.0,1.0,155.3,7.0,6.4,136.8,7.0,6.4,7.0,140.0,50.0,11.48,80.09,139.37,22.01,0.42,12.3,1.0,12.24,115.47,11.97
38.4,3.79,34.4,3.77,7.0,2.0,1.0,1.0,137.6,7.0,6.42,142.8,7.0,6.42,7.0,140.0,50.0,11.69,84.75,141.73,46.1,0.41,10.9,1.0,12.19,112.48,11.97
29.2,3.78,29.8,3.78,700.0,2.0,1.0,1.0,161.7,7.0,6.44,156.6,7.0,6.41,7.0,140.0,50.0,11.55,67.35,143.23,29.96,0.41,15.6,1.0,12.21,112.57,11.97
29.1,3.78,39.6,3.8,700.0,2.0,1.0,1.0,139.7,7.0,6.43,169.2,7.0,6.4,7.0,140.0,50.0,11.58,80.76,137.16,37.97,0.4,13.1,1.0,12.21,110.22,11.97
37.3,3.81,36.8,3.77,300.0,1.0,1.0,2.0,103.6,8.0,6.62,107.7,8.0,6.6,3.0,140.0,50.0,11.49,80.84,167.59,17.91,0.54,31.2,2.0,9.55,134.71,11.97
47.0,3.75,51.8,3.79,300.0,1.0,1.0,2.0,104.7,8.0,6.62,126.9,8.0,6.61,3.0,140.0,50.0,11.81,107.25,188.72,45.18,0.54,36.2,2.0,9.63,150.34,11.97
49.8,3.77,50.9,3.76,300.0,1.0,1.0,2.0,97.3,8.0,6.62,106.6,8.0,6.6,3.0,140.0,50.0,11.8,90.69,212.41,24.92,0.55,33.1,2.0,9.57,143.25,11.97
28.5,3.78,33.4,3.78,1300.0,2.0,1.0,1.0,149.5,7.0,6.41,153.7,7.0,6.43,13.0,140.0,50.0,11.91,68.12,114.25,9.03,0.23,14.9,1.0,12.25,127.04,11.97
35.6,3.75,40.4,3.78,1100.0,2.0,1.0,1.0,126.4,7.0,6.42,136.8,7.0,6.4,11.0,140.0,50.0,12.08,98.63,185.53,28.72,0.13,14.3,1.0,12.11,131.22,11.97
37.1,3.77,31.2,3.77,700.0,2.0,1.0,1.0,144.8,7.0,6.42,158.9,7.0,6.41,7.0,140.0,50.0,12.45,65.26,130.64,17.78,0.42,17.2,1.0,12.22,114.02,11.97
32.5,3.77,45.8,3.8,1300.0,2.0,1.0,1.0,136.4,7.0,6.4,142.6,7.0,6.42,13.0,140.0,50.0,11.73,84.18,197.36,24.5,0.22,14.5,1.0,12.31,124.7,11.97
40.4,3.78,51.8,3.75,300.0,1.0,1.0,2.0,98.3,8.0,6.62,96.2,8.0,6.61,3.0,140.0,50.0,11.67,70.95,153.76,20.02,0.55,33.2,2.0,9.62,138.4,11.97
50.2,3.77,43.5,3.79,300.0,1.0,1.0,2.0,102.9,8.0,6.62,114.1,8.0,6.61,3.0,140.0,50.0,11.45,84.85,177.15,23.8,0.55,31.0,2.0,9.59,132.13,11.98
30.3,3.79,32.5,3.79,1300.0,2.0,1.0,1.0,146.4,7.0,6.41,131.7,7.0,6.42,13.0,140.0,50.0,11.53,74.03,138.5,15.18,0.23,16.9,1.0,12.36,116.46,11.97
38.1,3.75,55.4,3.77,300.0,1.0,1.0,2.0,103.1,8.0,6.6,101.6,8.0,6.61,3.0,140.0,50.0,11.9,92.75,206.96,30.28,0.54,27.2,2.0,9.61,141.58,11.97
32.7,3.77,33.0,3.78,700.0,2.0,1.0,1.0,154.5,7.0,6.41,154.3,7.0,6.4,7.0,140.0,50.0,11.64,76.99,134.57,45.8,0.4,16.1,1.0,12.23,109.95,11.97
31.9,3.77,29.6,3.77,700.0,2.0,1.0,1.0,155.5,7.0,6.42,152.8,7.0,6.43,7.0,140.0,50.0,11.6,81.63,125.86,28.55,0.41,12.0,1.0,12.2,112.91,11.97
31.7,3.8,44.2,3.77,700.0,2.0,1.0,1.0,145.7,7.0,6.42,128.9,7.0,6.41,7.0,140.0,50.0,11.57,70.51,134.27,26.83,0.41,13.8,1.0,12.19,116.38,11.97
53.0,3.77,44.3,3.77,300.0,1.0,1.0,2.0,106.6,8.0,6.62,128.7,8.0,6.61,3.0,140.0,50.0,11.74,94.33,182.1,39.6,0.55,32.3,2.0,9.59,134.53,11.97
34.3,3.77,35.1,3.75,1000.0,2.0,1.0,1.0,148.2,7.0,6.42,131.4,7.0,6.42,10.0,140.0,50.0,11.84,94.64,207.48,30.7,0.59,16.8,1.0,12.2,123.67,11.97
37.8,3.77,39.7,3.77,700.0,2.0,1.0,1.0,139.0,7.0,6.41,135.4,7.0,6.4,7.0,140.0,50.0,11.58,72.22,127.04,31.28,0.41,15.2,1.0,12.08,118.33,11.97
33.1,3.75,38.3,3.79,1300.0,2.0,1.0,1.0,117.9,7.0,6.42,147.6,7.0,6.41,13.0,140.0,50.0,11.83,68.13,141.08,14.65,0.23,16.3,1.0,12.23,126.31,11.97
39.7,3.78,29.3,3.77,1300.0,2.0,1.0,1.0,146.8,7.0,6.4,150.1,7.0,6.4,13.0,140.0,50.0,11.76,94.35,173.73,21.65,0.22,17.9,1.0,12.35,113.91,11.97
48.7,3.76,44.8,3.76,30.0,1.0,1.0,2.0,97.1,8.0,6.61,145.4,8.0,6.61,3.0,140.0,50.0,11.75,90.95,185.79,38.89,0.55,31.7,2.0,9.7,127.97,11.97
36.3,3.77,41.7,3.75,1300.0,2.0,1.0,1.0,156.7,7.0,6.4,130.9,7.0,6.42,13.0,140.0,50.0,11.91,80.13,159.85,26.17,0.23,14.1,1.0,12.25,124.44,11.97
35.2,3.75,44.7,3.77,700.0,2.0,1.0,1.0,131.4,7.0,6.42,172.0,7.0,6.42,7.0,140.0,50.0,11.58,77.6,132.66,23.62,0.42,12.9,1.0,12.29,117.12,11.97
30.7,3.79,36.1,3.79,1300.0,2.0,1.0,1.0,134.6,7.0,6.42,156.0,7.0,6.42,13.0,140.0,50.0,11.75,84.2,171.52,20.97,0.23,21.1,1.0,12.27,116.73,11.97
45.6,3.77,44.8,3.78,300.0,1.0,1.0,2.0,97.1,8.0,6.62,114.4,8.0,6.61,3.0,140.0,50.0,11.73,108.75,184.53,41.96,0.55,28.8,2.0,9.61,134.35,11.97
39.7,3.75,47.9,3.78,1300.0,2.0,1.0,1.0,130.8,7.0,6.42,149.5,7.0,6.42,13.0,140.0,50.0,11.74,87.36,198.2,26.02,0.22,18.9,1.0,12.1,117.0,11.97
51.5,3.79,40.0,3.77,300.0,1.0,1.0,2.0,95.2,8.0,6.64,111.2,8.0,6.61,3.0,140.0,50.0,11.69,86.12,193.47,47.24,0.55,33.6,2.0,9.54,141.6,11.97
29.9,3.76,31.2,3.78,1300.0,2.0,1.0,1.0,127.7,7.0,6.42,139.2,7.0,6.41,13.0,140.0,50.0,11.7,88.09,194.44,27.0,0.23,20.2,1.0,12.13,121.5,11.97
51.0,3.75,52.3,3.75,3.0,1.0,1.0,2.0,101.6,8.0,6.62,106.9,8.0,6.61,3.0,140.0,50.0,11.81,88.33,211.51,24.52,0.55,33.2,2.0,9.54,135.32,11.97
29.7,3.77,44.4,3.78,1300.0,2.0,1.0,1.0,137.7,7.0,6.44,156.9,7.0,6.4,13.0,140.0,50.0,12.15,61.68,112.57,10.87,0.23,11.9,1.0,12.25,113.15,11.97
27.9,3.77,45.2,3.79,1300.0,2.0,1.0,1.0,128.9,7.0,6.42,132.7,7.0,6.42,13.0,140.0,50.0,11.78,72.04,148.94,21.92,0.23,11.7,1.0,12.29,117.68,11.97
30.1,3.75,43.0,3.79,1300.0,2.0,1.0,1.0,147.2,7.0,6.42,143.0,7.0,6.42,13.0,140.0,50.0,11.88,64.26,111.05,10.73,0.22,12.5,1.0,12.27,126.55,11.97
31.7,3.76,39.9,3.78,1000.0,2.0,1.0,1.0,137.2,7.0,6.44,148.6,7.0,6.42,10.0,140.0,50.0,11.8,95.9,202.68,29.44,0.59,14.3,1.0,12.17,120.45,11.97
31.4,3.77,33.5,3.77,1300.0,2.0,1.0,1.0,129.3,7.0,6.42,156.3,7.0,6.43,13.0,140.0,50.0,12.31,72.86,102.73,21.5,0.23,6.6,1.0,12.3,121.22,11.97
46.0,3.8,40.9,3.77,30.0,1.0,1.0,2.0,96.1,8.0,6.62,120.5,8.0,6.62,3.0,140.0,50.0,11.81,104.89,182.74,38.13,0.53,38.6,2.0,9.56,140.97,11.97
50.7,3.77,49.6,3.76,30.0,1.0,1.0,2.0,95.4,8.0,6.62,97.4,8.0,6.6,3.0,140.0,50.0,11.75,90.68,186.1,36.04,0.54,31.9,2.0,9.64,129.37,11.97
46.9,3.76,37.3,3.77,300.0,1.0,1.0,2.0,111.7,8.0,6.61,127.0,8.0,6.61,3.0,140.0,50.0,12.31,109.54,183.84,34.63,0.55,28.7,2.0,9.62,131.18,11.97
27.9,3.77,47.3,3.78,700.0,2.0,1.0,1.0,138.1,7.0,6.42,158.9,7.0,6.42,7.0,140.0,50.0,11.55,65.79,137.99,43.39,0.41,11.7,1.0,12.24,115.89,11.97
40.2,3.8,39.4,3.75,700.0,2.0,1.0,1.0,112.7,7.0,6.43,157.9,7.0,6.41,7.0,140.0,50.0,11.59,71.88,129.83,44.59,0.41,16.7,1.0,12.28,113.13,11.97
27.8,3.77,45.4,3.79,1300.0,2.0,1.0,1.0,139.8,7.0,6.41,156.5,7.0,6.41,13.0,140.0,50.0,11.73,97.28,189.62,27.54,0.23,15.8,1.0,12.19,125.33,11.97
48.1,3.77,41.1,3.78,400.0,1.0,1.0,2.0,103.8,8.0,6.64,106.0,8.0,6.62,4.0,150.0,50.0,11.92,108.02,196.85,40.64,0.4,73.1,1.0,12.06,144.68,11.97
51.6,3.79,40.9,3.78,400.0,1.0,1.0,2.0,101.2,8.0,6.61,112.6,8.0,6.61,4.0,140.0,50.0,11.7,76.16,165.48,25.37,0.42,53.1,1.0,12.02,135.55,11.97
50.6,3.78,35.5,3.79,300.0,1.0,1.0,2.0,106.5,8.0,6.61,121.2,8.0,6.63,3.0,140.0,50.0,11.75,84.57,174.57,30.73,0.55,32.7,2.0,9.6,133.2,11.97
37.7,3.76,39.8,3.78,700.0,2.0,1.0,1.0,151.9,7.0,6.4,163.5,7.0,6.4,7.0,140.0,50.0,11.59,73.17,126.65,25.62,0.41,16.5,1.0,12.14,113.84,11.97
35.5,3.75,48.0,3.77,30.0,1.0,1.0,2.0,106.8,8.0,6.63,110.5,8.0,6.6,3.0,140.0,50.0,12.3,113.34,194.66,37.33,0.56,28.5,2.0,9.64,131.78,11.97
28.7,3.76,30.1,3.77,700.0,2.0,1.0,1.0,158.8,7.0,6.4,149.0,7.0,6.4,7.0,140.0,50.0,11.58,66.33,125.73,24.74,0.41,14.4,1.0,12.22,114.96,11.97
31.6,3.77,46.0,3.76,1100.0,2.0,1.0,1.0,155.3,7.0,6.42,151.4,7.0,6.4,11.0,150.0,50.0,11.49,109.22,199.57,45.41,0.12,12.2,1.0,12.19,124.55,11.97
44.9,3.78,31.4,3.79,1000.0,2.0,1.0,1.0,142.6,7.0,6.42,157.6,7.0,6.41,10.0,140.0,50.0,11.89,88.41,194.06,27.59,0.6,14.2,1.0,12.16,121.23,11.97
37.2,3.77,41.2,3.75,300.0,1.0,1.0,2.0,103.5,8.0,6.61,131.6,8.0,6.61,3.0,140.0,50.0,11.73,73.46,163.58,20.31,0.55,36.5,2.0,9.62,129.95,11.97
46.2,3.76,36.2,3.77,30.0,1.0,1.0,2.0,107.3,8.0,6.62,122.3,8.0,6.61,3.0,140.0,50.0,11.89,89.07,208.03,27.41,0.54,35.0,2.0,9.5,133.48,11.97
38.2,3.77,52.4,3.77,400.0,1.0,1.0,2.0,109.4,8.0,6.62,122.1,8.0,6.62,4.0,150.0,50.0,11.94,112.58,179.37,32.69,0.4,66.8,1.0,12.04,139.05,11.97
43.8,3.79,45.0,3.78,700.0,2.0,1.0,1.0,147.6,7.0,6.42,143.9,7.0,6.41,7.0,140.0,50.0,11.49,65.86,137.71,27.73,0.41,17.8,1.0,12.16,109.86,11.97
33.8,3.8,31.2,3.79,700.0,2.0,1.0,1.0,151.1,7.0,6.42,176.1,7.0,6.41,7.0,140.0,50.0,11.58,60.41,140.55,42.07,0.41,11.8,1.0,12.29,119.26,11.97
37.9,3.75,40.0,3.75,300.0,1.0,1.0,2.0,108.5,8.0,6.6,125.3,8.0,6.6,3.0,140.0,50.0,11.81,104.74,182.79,35.5,0.54,33.5,2.0,9.61,144.34,11.97
27.7,3.79,33.0,3.77,1300.0,2.0,1.0,1.0,138.9,7.0,6.42,138.1,7.0,6.41,13.0,140.0,50.0,11.72,89.74,185.48,31.52,0.22,13.1,1.0,12.25,115.19,11.97
42.0,3.78,51.8,3.79,300.0,1.0,1.0,2.0,114.3,8.0,6.61,120.0,8.0,6.6,3.0,140.0,50.0,11.74,78.64,183.29,49.82,0.55,28.2,2.0,9.58,130.02,11.97
40.9,3.79,46.0,3.76,1000.0,2.0,1.0,1.0,118.3,7.0,6.42,145.1,7.0,6.43,10.0,140.0,50.0,11.71,107.29,199.99,64.97,0.6,17.8,1.0,12.22,120.68,11.97
46.4,3.78,48.9,3.77,300.0,1.0,1.0,2.0,109.0,8.0,6.62,105.2,8.0,6.61,3.0,140.0,50.0,11.71,90.1,200.28,30.09,0.55,35.3,2.0,9.55,133.07,11.97
50.1,3.79,40.3,3.78,300.0,1.0,1.0,2.0,109.7,8.0,6.62,110.3,8.0,6.61,3.0,140.0,50.0,11.82,66.0,170.91,18.2,0.55,28.9,2.0,9.65,129.97,11.97
40.4,3.79,46.5,3.77,400.0,1.0,1.0,2.0,98.5,8.0,6.6,125.4,8.0,6.62,4.0,140.0,50.0,11.8,75.46,163.76,19.73,0.42,51.0,1.0,12.12,143.04,11.97
38.7,3.78,45.7,3.78,300.0,1.0,1.0,2.0,104.7,8.0,6.64,104.3,8.0,6.61,3.0,140.0,50.0,11.85,65.13,156.4,18.4,0.55,33.5,2.0,9.53,132.6,11.97
42.1,3.78,49.0,3.76,30.0,1.0,1.0,2.0,114.6,8.0,6.61,116.3,8.0,6.6,3.0,140.0,50.0,11.77,110.03,183.77,41.88,0.53,30.2,2.0,9.54,135.45,11.97
27.3,3.76,31.4,3.75,700.0,2.0,1.0,1.0,155.8,7.0,6.42,133.3,7.0,6.41,7.0,140.0,50.0,11.58,78.09,127.28,33.89,0.41,16.0,1.0,12.1,113.53,11.97
41.2,3.78,39.1,3.78,700.0,2.0,1.0,1.0,155.0,7.0,6.42,152.1,7.0,6.4,7.0,140.0,50.0,11.6,90.39,134.88,25.14,0.41,17.1,1.0,12.25,117.32,11.97
36.0,3.78,32.4,3.77,700.0,2.0,1.0,1.0,141.3,7.0,6.43,137.7,7.0,6.4,7.0,140.0,50.0,11.51,83.88,129.16,28.17,0.41,20.1,1.0,12.23,121.89,11.97
35.1,3.81,43.6,3.79,700.0,2.0,1.0,1.0,156.6,7.0,6.42,143.1,7.0,6.41,7.0,140.0,50.0,11.7,80.67,131.83,35.19,0.41,19.1,1.0,12.15,117.11,11.97
47.6,3.77,34.5,3.79,30.0,1.0,1.0,2.0,113.1,8.0,6.62,112.5,8.0,6.62,3.0,140.0,50.0,11.86,88.17,214.67,27.3,0.55,30.6,2.0,9.71,123.15,11.97
34.1,3.8,43.9,3.79,1300.0,2.0,1.0,1.0,131.3,7.0,6.4,137.6,7.0,6.4,13.0,140.0,50.0,12.1,69.14,167.19,17.62,0.23,14.7,1.0,12.23,120.97,11.97
51.2,3.76,38.3,3.76,300.0,1.0,1.0,2.0,99.9,8.0,6.64,76.2,8.0,6.62,3.0,140.0,50.0,11.45,83.7,181.45,20.75,0.54,29.4,2.0,9.53,131.09,11.97
32.8,3.76,44.4,3.78,700.0,2.0,1.0,1.0,147.5,7.0,6.43,159.2,7.0,6.4,7.0,140.0,50.0,11.57,73.45,138.62,36.0,0.41,11.7,1.0,12.19,112.47,11.97
33.4,3.81,36.1,3.77,1000.0,2.0,1.0,1.0,145.3,7.0,6.42,146.7,7.0,6.42,10.0,140.0,50.0,11.77,91.36,187.96,65.54,0.59,10.0,1.0,12.28,122.12,11.97
33.5,3.77,39.2,3.79,1100.0,2.0,1.0,1.0,128.1,7.0,6.44,152.0,7.0,6.4,11.0,140.0,50.0,11.91,64.48,144.61,18.07,0.12,8.9,1.0,12.22,128.36,11.97
30.2,3.78,37.2,3.77,700.0,2.0,1.0,1.0,156.0,7.0,6.41,152.9,7.0,6.42,7.0,140.0,50.0,11.57,60.28,139.3,25.76,0.41,14.9,1.0,12.24,112.21,11.97
31.1,3.77,32.9,3.8,700.0,2.0,1.0,1.0,137.6,7.0,6.41,169.6,7.0,6.41,7.0,140.0,50.0,11.65,66.42,145.43,25.33,0.41,19.3,1.0,12.16,110.12,11.97
35.9,3.76,45.8,3.77,300.0,1.0,1.0,2.0,117.7,8.0,6.62,121.6,8.0,6.6,3.0,150.0,50.0,11.77,109.07,196.48,40.04,0.53,29.7,2.0,9.67,139.53,11.97
40.2,3.76,46.9,3.79,300.0,1.0,1.0,2.0,102.4,8.0,6.62,132.5,8.0,6.61,3.0,140.0,50.0,11.78,71.18,162.25,20.79,0.55,28.1,2.0,9.59,131.72,11.97
29.6,3.77,38.0,3.79,700.0,2.0,1.0,1.0,153.9,7.0,6.4,136.2,7.0,6.4,7.0,140.0,50.0,11.59,59.3,133.08,21.32,0.41,15.9,1.0,12.26,115.79,11.97
51.2,3.79,49.9,3.77,300.0,1.0,1.0,2.0,115.4,8.0,6.64,119.8,8.0,6.6,3.0,140.0,50.0,11.78,107.43,191.03,45.11,0.54,33.7,2.0,9.52,140.38,11.97
29.8,3.77,49.3,3.79,1300.0,2.0,1.0,1.0,151.4,7.0,6.42,133.5,7.0,6.43,13.0,140.0,50.0,12.53,65.82,106.56,12.54,0.22,18.8,1.0,12.17,123.17,11.97
56.9,3.77,51.0,3.77,3.0,1.0,1.0,2.0,103.1,8.0,6.61,120.7,8.0,6.6,3.0,140.0,50.0,11.83,81.38,195.02,26.4,0.55,32.9,2.0,9.6,130.48,11.97
