START2_OP020_V_1angle,START2_OP020_V_1torque,START2_OP020_V_2angle,START2_OP020_V_2torque,START2_OP040_Vision_cosseprog,START2_OP050_Vision_paliermodel,START2_OP050_Vision_palierpresencedouille,START2_OP060_Vision_tirantcouleur,START2_OP070_V_1angle,START2_OP070_V_1prog,START2_OP070_V_1torque,START2_OP070_V_2angle,START2_OP070_V_2prog,START2_OP070_V_2torque,START2_OP080_Vision_rondelleprog,START2_OP090_MaxMidForceLimit,START2_OP090_MinMidForceLimit,START2_OP090_SnapRingFinalStroke,START2_OP090_SnapRingMidPointForce,START2_OP090_SnapRingPeakForce,START2_OP090_StartLinePeakForce,START2_OP100_Capuchon_insertionmesure,START2_OP110_Vissage_M8angle,START2_OP110_Vissage_M8prog,START2_OP110_Vissage_M8torque,START2_OP120_RodageI_mesure,START2_OP120_RodageU_mesure
29.4,3.77,48.5,3.77,700.0,2.0,1.0,1.0,140.4,7.0,6.41,154.6,7.0,6.42,7.0,140.0,50.0,11.58,70.88,138.01,42.63,0.41,19.7,1.0,12.22,118.21,11.97
37.1,3.78,53.4,3.79,30.0,1.0,1.0,2.0,118.9,8.0,6.6,110.1,8.0,6.62,3.0,140.0,50.0,11.78,107.17,188.64,33.77,0.53,28.2,2.0,9.56,137.59,11.97
51.8,3.78,45.9,3.77,400.0,1.0,1.0,2.0,102.0,8.0,6.62,107.9,8.0,6.61,4.0,140.0,50.0,11.88,90.77,188.36,33.1,0.42,49.3,1.0,12.16,147.02,11.97
32.6,3.78,39.5,3.77,1000.0,2.0,1.0,1.0,128.0,7.0,6.41,146.8,7.0,6.4,10.0,150.0,50.0,11.52,109.99,189.31,70.82,0.59,16.4,1.0,12.17,123.51,11.97
39.9,3.79,34.0,3.78,700.0,2.0,1.0,1.0,155.2,7.0,6.4,147.4,7.0,6.44,7.0,140.0,50.0,11.57,68.05,122.39,25.42,0.42,10.5,1.0,12.21,115.61,11.97
25.3,3.79,42.5,3.78,700.0,2.0,1.0,1.0,149.7,7.0,6.41,156.9,7.0,6.41,7.0,140.0,50.0,11.71,65.33,129.14,22.75,0.41,17.2,1.0,12.28,118.8,11.97
45.7,3.76,48.5,3.77,300.0,1.0,1.0,2.0,105.7,8.0,6.6,104.6,8.0,6.6,3.0,140.0,50.0,11.86,85.8,201.34,24.97,0.55,28.8,2.0,9.56,125.91,11.97
31.5,3.75,37.5,3.77,700.0,2.0,1.0,1.0,144.1,7.0,6.42,156.1,7.0,6.41,7.0,140.0,50.0,11.59,73.57,141.58,31.4,0.41,32.9,1.0,12.22,113.06,11.97
45.8,3.78,51.3,3.78,300.0,1.0,1.0,2.0,101.6,8.0,6.62,125.4,8.0,6.6,3.0,140.0,50.0,11.77,103.77,186.3,31.61,0.53,33.7,2.0,9.61,127.79,11.97
30.3,3.82,34.7,3.76,700.0,2.0,1.0,1.0,138.4,7.0,6.41,147.9,7.0,6.4,7.0,140.0,50.0,11.65,64.86,143.7,48.88,0.41,10.2,1.0,12.24,116.92,11.97
36.3,3.77,42.8,3.77,1000.0,2.0,1.0,1.0,149.5,7.0,6.4,139.8,7.0,6.42,10.0,140.0,50.0,11.85,117.03,210.1,39.63,0.59,12.9,1.0,12.32,113.63,11.97
47.3,3.77,32.8,3.79,1000.0,2.0,1.0,1.0,148.1,7.0,6.42,141.5,7.0,6.41,10.0,140.0,50.0,11.85,91.29,210.93,25.22,0.59,12.9,1.0,12.11,120.98,11.97
49.1,3.78,47.5,3.78,40.0,1.0,1.0,2.0,113.9,8.0,6.64,120.3,8.0,6.61,4.0,140.0,50.0,11.66,75.7,156.22,31.43,0.43,54.8,1.0,12.05,140.65,11.97
33.5,3.78,42.1,3.79,300.0,1.0,1.0,2.0,106.1,8.0,6.6,110.8,8.0,6.61,3.0,140.0,50.0,11.75,72.53,157.24,22.38,0.55,29.3,2.0,9.6,128.34,11.97
30.9,3.8,37.2,3.79,1300.0,2.0,1.0,1.0,154.9,7.0,6.42,158.7,7.0,6.4,13.0,140.0,50.0,11.74,86.21,185.33,26.58,0.23,12.5,1.0,12.29,116.28,11.97
32.1,3.81,44.8,3.75,1100.0,2.0,1.0,1.0,122.4,7.0,6.42,157.0,7.0,6.4,11.0,140.0,50.0,12.04,93.75,198.75,43.97,0.13,10.9,1.0,12.21,131.75,11.97
29.9,3.81,36.5,3.79,700.0,2.0,1.0,1.0,140.5,7.0,6.42,131.8,7.0,6.42,7.0,140.0,50.0,11.67,83.54,137.95,41.8,0.41,17.9,1.0,12.09,115.48,11.97
28.8,3.79,42.5,3.79,700.0,2.0,1.0,1.0,142.6,7.0,6.42,164.3,7.0,6.42,7.0,140.0,50.0,11.72,74.22,136.3,41.17,0.41,18.6,1.0,12.19,110.53,11.97
41.2,3.75,33.1,3.79,1300.0,2.0,1.0,1.0,135.1,7.0,6.41,135.6,7.0,6.44,13.0,140.0,50.0,12.49,67.44,99.96,14.46,0.23,14.7,1.0,12.29,130.57,11.97
52.5,3.78,45.1,3.79,300.0,1.0,1.0,2.0,98.6,8.0,6.61,98.3,8.0,6.6,3.0,140.0,50.0,11.74,93.26,200.51,28.86,0.55,32.8,2.0,9.59,136.25,11.97
28.0,3.78,39.9,3.78,700.0,2.0,1.0,1.0,145.9,7.0,6.43,147.7,7.0,6.4,7.0,140.0,50.0,11.73,79.23,135.61,42.2,0.41,15.6,1.0,12.18,113.42,11.97
29.3,3.81,32.7,3.77,1300.0,2.0,1.0,1.0,133.7,7.0,6.4,144.1,7.0,6.4,13.0,140.0,50.0,11.74,105.97,192.53,33.41,0.23,17.0,1.0,12.2,119.63,11.97
48.3,3.75,51.6,3.76,30.0,1.0,1.0,2.0,103.8,8.0,6.64,113.9,8.0,6.6,3.0,140.0,50.0,11.83,90.41,211.26,25.24,0.55,29.8,2.0,9.53,139.11,11.97
33.0,3.77,27.7,3.76,700.0,2.0,1.0,1.0,155.5,7.0,6.42,129.9,7.0,6.4,7.0,140.0,50.0,11.58,68.43,135.87,27.29,0.41,15.8,1.0,12.24,111.99,11.97
47.1,3.78,39.9,3.77,300.0,1.0,1.0,2.0,99.5,8.0,6.61,102.3,8.0,6.61,3.0,140.0,50.0,11.83,90.9,210.99,25.77,0.55,30.2,2.0,9.6,141.82,11.97
51.9,3.8,46.2,3.77,300.0,1.0,1.0,2.0,100.3,8.0,6.62,102.0,8.0,6.61,3.0,140.0,50.0,11.82,88.22,202.79,26.73,0.53,37.1,2.0,9.54,135.34,11.97
35.7,3.75,40.8,3.76,700.0,2.0,1.0,1.0,145.8,7.0,6.42,155.2,7.0,6.42,7.0,140.0,50.0,11.69,68.66,144.62,40.16,0.41,14.6,1.0,12.16,112.21,11.97
38.6,3.78,40.9,3.77,1300.0,2.0,1.0,1.0,130.3,7.0,6.42,168.5,7.0,6.41,13.0,140.0,50.0,11.74,112.18,188.49,31.74,0.23,12.2,1.0,12.21,123.91,11.97
33.2,3.75,40.3,3.78,1300.0,2.0,1.0,1.0,146.7,7.0,6.41,126.0,7.0,6.4,13.0,140.0,50.0,11.89,82.93,206.46,22.35,0.23,12.3,1.0,12.19,123.13,11.97
48.3,3.77,37.4,3.77,300.0,1.0,1.0,2.0,103.0,8.0,6.62,108.8,8.0,6.6,3.0,140.0,50.0,11.8,69.92,159.63,19.92,0.55,34.3,2.0,9.62,134.65,11.97
39.0,3.76,44.7,3.77,1300.0,2.0,1.0,1.0,162.0,7.0,6.43,129.1,7.0,6.41,13.0,140.0,50.0,11.75,81.87,187.01,18.89,0.22,9.3,1.0,12.27,113.02,11.97
51.8,3.78,42.2,3.78,300.0,1.0,1.0,2.0,105.5,8.0,6.61,144.2,8.0,6.61,3.0,140.0,50.0,11.72,112.52,196.56,52.71,0.55,30.5,2.0,9.61,132.84,11.97
28.3,3.76,44.2,3.79,1300.0,2.0,1.0,1.0,139.2,7.0,6.42,128.1,7.0,6.42,13.0,140.0,50.0,11.82,70.16,155.99,18.66,0.23,17.1,1.0,12.24,120.51,11.97
33.9,3.76,49.3,3.79,1100.0,2.0,1.0,1.0,146.2,7.0,6.43,139.8,7.0,6.42,11.0,140.0,50.0,11.48,70.28,126.32,21.7,0.12,14.5,1.0,12.11,123.02,11.97
28.9,3.78,35.8,3.77,700.0,2.0,1.0,1.0,174.1,7.0,6.42,148.9,7.0,6.42,7.0,140.0,50.0,11.59,59.05,142.31,50.92,0.42,19.7,1.0,12.24,118.82,11.97
26.8,3.78,29.4,3.78,7.0,2.0,1.0,1.0,156.2,7.0,6.4,137.8,7.0,6.41,7.0,140.0,50.0,11.58,62.1,138.42,27.0,0.41,18.2,1.0,12.15,118.86,11.97
32.5,3.76,48.8,3.78,300.0,1.0,1.0,2.0,102.7,8.0,6.63,106.4,8.0,6.61,3.0,140.0,50.0,11.74,83.07,202.33,39.36,0.55,33.8,2.0,9.6,142.85,11.97
47.5,3.76,40.3,3.8,400.0,1.0,1.0,2.0,90.7,8.0,6.61,105.2,8.0,6.62,4.0,140.0,50.0,11.76,72.8,182.56,24.85,0.42,54.2,1.0,12.08,136.36,11.97
33.5,3.77,47.4,3.77,1100.0,2.0,1.0,1.0,147.2,7.0,6.42,141.9,7.0,6.4,11.0,140.0,50.0,11.43,82.96,131.03,28.96,0.12,12.7,1.0,12.29,129.25,11.97
26.0,3.78,41.3,3.77,1300.0,2.0,1.0,1.0,149.1,7.0,6.42,156.0,7.0,6.41,13.0,140.0,50.0,11.8,88.06,177.54,22.64,0.23,14.5,1.0,12.12,116.55,11.97
38.2,3.78,31.0,3.77,1300.0,2.0,1.0,1.0,131.6,7.0,6.42,146.1,7.0,6.42,13.0,140.0,50.0,11.84,66.85,122.21,11.58,0.23,12.4,1.0,12.26,124.85,11.97
30.8,3.8,48.8,3.77,1000.0,2.0,1.0,1.0,142.5,7.0,6.41,134.5,7.0,6.4,10.0,140.0,50.0,11.61,73.96,125.05,39.6,0.6,12.6,1.0,12.25,120.75,11.97
32.8,3.81,43.2,3.77,1300.0,2.0,1.0,1.0,141.5,7.0,6.42,146.3,7.0,6.4,13.0,140.0,50.0,11.74,93.46,196.96,26.02,0.23,15.9,1.0,12.19,118.16,11.97
27.8,3.81,40.7,3.8,1300.0,2.0,1.0,1.0,142.8,7.0,6.44,161.9,7.0,6.42,13.0,140.0,50.0,11.78,94.45,169.28,25.77,0.23,14.0,1.0,12.21,120.61,11.98
44.0,3.81,33.4,3.79,1000.0,2.0,1.0,1.0,128.6,7.0,6.43,128.4,7.0,6.4,10.0,140.0,50.0,11.44,90.12,196.13,35.6,0.6,17.7,1.0,12.18,118.76,11.98
32.1,3.78,32.7,3.8,1000.0,2.0,1.0,1.0,146.2,7.0,6.43,129.2,7.0,6.4,10.0,140.0,50.0,11.78,103.03,188.02,68.62,0.58,14.5,1.0,12.22,125.34,11.97
37.2,3.78,48.1,3.8,1000.0,2.0,1.0,1.0,110.8,7.0,6.42,153.2,7.0,6.41,10.0,140.0,50.0,11.39,85.08,181.88,21.24,0.59,24.5,1.0,12.15,118.98,11.97
45.9,3.79,38.7,3.79,300.0,1.0,1.0,2.0,111.1,8.0,6.62,127.4,8.0,6.6,3.0,140.0,50.0,11.77,104.42,192.37,51.89,0.53,31.1,2.0,9.56,131.95,11.97
37.1,3.75,39.9,3.77,700.0,2.0,1.0,1.0,157.8,7.0,6.41,139.2,7.0,6.41,7.0,140.0,50.0,11.72,81.65,134.84,40.98,0.41,11.3,1.0,12.25,120.96,11.97
34.7,3.79,47.2,3.77,1100.0,2.0,1.0,1.0,155.5,7.0,6.42,158.3,7.0,6.42,11.0,140.0,50.0,11.91,77.71,160.08,22.7,0.13,16.4,1.0,12.12,121.61,11.97
41.9,3.76,47.1,3.77,30.0,1.0,1.0,2.0,97.4,8.0,6.6,123.1,8.0,6.6,3.0,140.0,50.0,11.81,72.27,172.77,22.83,0.55,34.6,2.0,9.6,135.05,11.97
41.1,3.77,33.3,3.77,700.0,2.0,1.0,1.0,153.3,7.0,6.4,150.1,7.0,6.41,7.0,140.0,50.0,11.59,60.83,139.78,44.7,0.41,12.4,1.0,12.23,121.54,11.97
34.5,3.77,30.8,3.77,1300.0,2.0,1.0,1.0,147.8,7.0,6.42,169.9,7.0,6.4,13.0,140.0,50.0,11.76,94.86,184.06,28.16,0.23,16.0,1.0,12.25,118.61,11.97
44.8,3.78,39.5,3.77,40.0,1.0,1.0,2.0,105.0,8.0,6.61,128.9,8.0,6.61,4.0,150.0,50.0,11.77,109.44,192.03,41.02,0.4,55.5,1.0,12.01,141.97,11.97
34.2,3.78,40.7,3.77,1300.0,2.0,1.0,1.0,140.2,7.0,6.42,166.6,7.0,6.41,13.0,140.0,50.0,11.74,97.6,172.95,28.44,0.23,17.8,1.0,12.18,116.84,11.97
36.5,3.77,43.5,3.79,1100.0,2.0,1.0,1.0,127.4,7.0,6.41,139.4,7.0,6.4,11.0,140.0,50.0,11.45,57.34,142.13,51.23,0.13,16.9,1.0,12.16,123.01,11.97
51.4,3.77,43.7,3.78,300.0,1.0,1.0,2.0,102.1,8.0,6.62,116.7,8.0,6.61,3.0,140.0,50.0,11.81,104.16,187.48,52.92,0.53,35.4,2.0,9.58,138.57,11.97
29.9,3.81,45.4,3.8,700.0,2.0,1.0,1.0,158.2,7.0,6.4,146.6,7.0,6.4,7.0,140.0,50.0,11.56,64.89,135.85,27.36,0.41,14.3,1.0,12.24,113.33,11.97
50.6,3.76,40.3,3.78,300.0,1.0,1.0,2.0,103.8,8.0,6.62,118.2,8.0,6.6,3.0,140.0,50.0,11.78,103.61,196.72,53.13,0.54,31.7,2.0,9.55,145.57,11.97
34.6,3.76,30.2,3.77,1300.0,2.0,1.0,1.0,147.3,7.0,6.42,153.4,7.0,6.42,13.0,140.0,50.0,11.74,86.68,186.82,22.0,0.22,13.6,1.0,12.27,114.77,11.97
32.5,3.75,45.8,3.75,300.0,1.0,1.0,2.0,111.2,8.0,6.62,123.4,8.0,6.61,3.0,140.0,50.0,11.78,108.7,188.34,34.09,0.53,29.5,2.0,9.52,137.4,11.97
35.4,3.77,29.3,3.79,1300.0,2.0,1.0,1.0,153.9,7.0,6.42,154.3,7.0,6.42,13.0,140.0,50.0,11.88,92.02,206.41,30.27,0.23,12.6,1.0,12.29,123.01,11.97
43.8,3.8,49.6,3.79,400.0,1.0,1.0,2.0,100.5,8.0,6.61,109.8,8.0,6.6,4.0,140.0,50.0,12.09,89.31,194.15,28.61,0.42,55.3,1.0,12.05,201.79,11.97
29.3,3.76,43.3,3.78,1300.0,2.0,1.0,1.0,120.7,7.0,6.41,159.6,7.0,6.42,13.0,140.0,50.0,9.79,70.56,110.81,20.55,0.22,15.0,1.0,12.24,119.07,11.97
31.8,3.78,31.0,3.8,1000.0,2.0,1.0,1.0,128.0,7.0,6.42,143.4,7.0,6.42,10.0,140.0,50.0,11.58,90.55,181.01,36.07,0.6,23.8,1.0,12.27,126.83,11.97
26.0,3.81,38.1,3.79,700.0,2.0,1.0,1.0,147.2,7.0,6.42,137.3,7.0,6.42,7.0,140.0,50.0,12.49,65.62,138.04,17.43,0.42,11.2,1.0,12.21,120.93,11.97
32.0,3.77,42.6,3.78,1000.0,2.0,1.0,1.0,138.5,7.0,6.44,139.5,7.0,6.43,10.0,140.0,50.0,11.03,80.68,196.66,50.47,0.6,25.5,1.0,12.13,118.63,11.97
54.1,3.77,52.2,3.79,300.0,1.0,1.0,2.0,112.3,8.0,6.61,124.7,8.0,6.61,3.0,140.0,50.0,11.87,85.18,212.0,24.82,0.54,33.5,2.0,9.66,133.69,11.97
32.2,3.75,30.8,3.79,1000.0,2.0,1.0,1.0,174.5,7.0,6.42,131.8,7.0,6.42,10.0,140.0,50.0,11.61,68.77,122.95,34.72,0.6,12.2,1.0,12.26,123.79,11.97
33.1,3.81,44.4,3.79,1300.0,2.0,1.0,1.0,122.3,7.0,6.41,159.2,7.0,6.4,13.0,140.0,50.0,9.9,58.76,93.65,8.52,0.23,16.8,1.0,12.18,124.7,11.97
47.1,3.78,49.0,3.75,300.0,1.0,1.0,2.0,111.5,8.0,6.63,109.0,8.0,6.6,3.0,140.0,50.0,11.59,79.19,123.77,26.94,0.55,27.7,2.0,9.6,131.23,11.97
26.1,3.81,42.9,3.8,1000.0,2.0,1.0,1.0,167.0,7.0,6.42,125.4,7.0,6.4,10.0,140.0,50.0,11.87,93.56,218.11,30.87,0.59,13.6,1.0,12.26,123.8,11.97
38.3,3.79,30.1,3.78,700.0,2.0,1.0,1.0,156.5,7.0,6.4,154.3,7.0,6.41,7.0,140.0,50.0,11.64,80.2,146.11,37.26,0.41,10.1,1.0,12.22,123.54,11.97
42.4,3.77,39.4,3.77,700.0,2.0,1.0,1.0,139.9,7.0,6.42,164.3,7.0,6.42,7.0,140.0,50.0,11.58,66.44,140.33,29.53,0.41,11.5,1.0,12.21,110.03,11.97
